code,libelle
112,Risque Naturel ; Inondation ; Par une crue à débordement lent de cours d'eau
113,Risque Naturel ; Inondation ; Par une crue torrentielle ou à montée rapide de cours d'eau
114,Risque Naturel ; Inondation ; Par ruissellement et coulée de boue
115,Risque Naturel ; Inondation ; Par lave torrentielle (torrent et talweg) 
116,Risque Naturel ; Inondation ; Par remontées de nappes naturelles
117,Risque Naturel ; Inondation ; Par submersion marine
121,"Risque Naturel ; Mouvement de terrain ; Affaissement et effondrements d'origine anthropique (anciennes carrières souterraines, hors mines)"
122,Risque Naturel ; Mouvement de terrain ; Affaissement et effondrements d'origine naturelle (cavités souterraines)
123,Risque Naturel ; Mouvement de terrain ; Eboulement ou chutes de pierres et de blocs
124,Risque Naturel ; Mouvement de terrain ; Glissement de terrain
125,Risque Naturel ; Mouvement de terrain ; Avancée dunaire
126,Risque Naturel ; Mouvement de terrain ; Recul du trait de côte et de falaises
127,Risque Naturel ; Mouvement de terrain ; Tassement différentiels
13,Risque Naturel ; Séisme
14,Risque Naturel ; Avalanche
15,Risque Naturel ; Eruption volcanique
16,Risque Naturel ; Feu de forêt
171,Risque Naturel ; Phénomène lié à l'atmosphère ; Cyclone / Ouragan
172,Risque Naturel ; Phénomène lié à l'atmosphère ; Tempête et grains (vent)
174,Risque Naturel ; Phénomène lié à l'atmosphère ; Foudre
175,Risque Naturel ; Phénomène lié à l'atmosphère ; Grêle
176,Risque Naturel ; Phénomène lié à l'atmosphère ; Neige et pluies verglaçantes
18,Risque Naturel ; Radon
211,Risque technologique ; Risque Industriel ; Effet thermique
212,Risque technologique ; Risque Industriel ; Effet de surpression
213,Risque technologique ; Risque Industriel ; Effet toxique 
214,Risque technologique ; Risque Industriel ; Effet de projection
22,Risque technologique ; Nucléaire
23,Risque technologique ; Rupture de barrage
24,Risque technologique ; Transport de marchandises dangereuses
25,Risque technologique ; Engins de guerre
311,Risque minier ; Affaissement minier ; Effondrements généralisés
312,Risque minier ; Affaissement minier ; Effondrements localisés
313,Risque minier ; Affaissement minier ; Affaissements progressifs
314,Risque minier ; Affaissement minier ; Tassements
315,Risque minier ; Affaissement minier ; Glissements ou mouvements de pente
316,Risque minier ; Affaissement minier ; Coulées
317,Risque minier ; Affaissement minier ; Ecroulements rocheux
321,Risque minier ; Inondations de terrains miniers ; Pollution des eaux souterraines et de surface
322,Risque minier ; Inondations de terrains miniers ; Pollution des sédiments et des sols
33,Risque minier ; Emissions en surface de gaz de mine
34,Risque minier ; Echauffement des terrains de dépôts
999,Risques multiples
